195,41,-31,33.08432500999999,2
218,48,-22,42.441822795,2
227,50,-22,30.95229014500004,2
297,65,-26,13.754859070000016,1
322,71,-27,78.26204291500005,4
363,81,-27,17.10815542000001,1
359,80,-30,63.948783610000106,3
370,82,-33,32.12617763000001,2
369,82,-34,68.69109315999998,3
378,84,-34,54.558327665000014,3
390,86,-37,82.7784146249999,4
394,87,-38,81.51064595999995,3
397,88,-40,43.006802915,2
401,90,-38,32.430684474999964,2
417,94,-40,64.09094348000006,3
404,91,-55,34.04488933000004,2
396,88,-54,38.332437580000025,2
356,79,-55,60.45463144999987,3
352,77,-55,86.06545854999999,4
333,74,-55,85.80818156499998,4
368,82,-50,44.50218362999995,2
377,84,-50,17.10815542000001,1
384,85,-49,85.27898683,4
385,85,-45,35.484495339999945,2
388,86,-44,78.28742199499985,4
389,86,-42,33.20373407,2
373,83,-36,24.10393231000002,1
362,81,-38,13.838057350000003,1
357,79,-41,55.37662812499987,3
354,78,-37,22.37372412500003,1
326,72,-35,22.26535469500001,1
280,61,-31,69.3090710750001,3
300,66,-35,46.37691710500003,2
314,69,-38,39.97518047,2
309,68,-39,14.70595727000003,1
317,70,-40,21.200170185,1
313,69,-43,13.288356055000017,1
321,71,-44,15.04809383000002,1
320,71,-47,13.87249999000002,1
332,73,-47,36.50556494500006,2
343,75,-50,13.254242750000008,1
334,74,-51,21.820863835000015,1
325,72,-51,14.244540284999996,1
319,71,-52,41.26948212999994,2
307,68,-53,14.48939965500001,1
295,65,-55,71.73545553499987,3
296,65,-54,13.695497830000015,1
308,68,-50,75.60379922499999,3
288,63,-47,59.345242895,2
283,62,-47,13.513012160000011,1
265,58,-50,56.82089246500017,3
251,54,-52,51.66796179000004,2
239,52,-50,83.48833002999993,4
233,51,-53,38.332437580000025,2
225,50,-51,13.513012160000011,1
209,46,-50,15.87964090000001,1
204,44,-47,20.211614445000006,1
214,47,-47,36.38676726000006,2
217,48,-47,57.685154469999944,3
240,52,-43,37.22621403000006,2
241,52,-38,50.18687449500004,2
260,56,-44,38.896815885000024,2
270,59,-44,14.246535970000014,1
266,58,-42,13.698404605000013,1
263,57,-38,18.527029315000014,1
279,61,-36,14.590788355000022,1
271,59,-34,86.03636537499992,4
267,58,-35,86.52345468,4
255,55,-34,60.56508658999997,3
242,52,-34,24.02420024500004,2
226,50,-35,67.63368983999993,3
205,44,-33,77.70365083999997,3
201,43,-43,66.13913767499983,3
194,41,-41,20.445311474999997,1
176,37,-41,28.431509115000036,2
173,36,-38,66.21964199999988,3
169,35,-38,40.032165795,2
161,33,-40,40.60248967000004,2
172,36,-42,39.60572126999999,2
134,26,-49,60.006210295,2
175,37,-49,13.35876792500001,1
213,47,-55,14.16362900999997,1
